name,date
A/Pakistan/GIHSN/ICT/826/2023|EPIISL16979980|2022-02-06|Original|NationalInstituteofHealthPakistan,2022-02-06
A/NorthDakota/12226/2021|EPIISL4702772|2021-09-01|Original|USAirForceSchoolofAerospaceMedicine,2021-09-01
A/Indiana/21/2016|EPIISL223312|2016-02-04,2016-02-04
A/Victoria/503/2016|EPIISL255505|2016-05-18,2016-05-18
A/Iowa/53/2015|EPIISL211748|2015-11-04,2015-11-04
A/Minnesota/32/2015|EPIISL208219|2015-07-09,2015-07-09
A/Israel/Q-504/2015|EPIISL207902|2015-12-15,2015-12-15
A/Perth/103/2015|EPIISL202448|2015-08-06,2015-08-06
A/Bangladesh/3002/2015|EPIISL205498|2015-05-07,2015-05-07
A/Kanagawa/206/2016|EPIISL248946|2016-11-02,2016-11-02
A/England/223940530/2022|EPIISL15740785|2022-09-12|original|UKHealthSecurityAgency-Colindale,2022-09-12
A/Israel/R9196/2022|EPIISL16541959|2022-09-12||CrickWorldwideInfluenzaCentre,2022-09-12
A/AthensGR/211/2022|EPIISL15839847|2022-09-26||HellenicPasteurInstitute,2022-09-26
A/Singapore/NUH0034/2022|EPIISL16520284|2022-09-21|Clinicalspecimen|MinistryofHealthSingapore,2022-09-21
A/Norway/35980/2022|EPIISL16358645|2022-09-16|ClinicalSpecimen|NorwegianInstituteofPublicHealth,2022-09-16
A/Catalonia/NSVH198255684/2022|EPIISL15388480|2022-09-30|Original|HospitalUniversitariValldHebron,2022-09-30
A/Michigan/UOM10049017844/2022|EPIISL18076784|2022-12-22|HA|4,2022-12-22
A/Michigan/HFHSL362388009/2023|EPIISL17983432|2023-02-16|HA|4,2023-02-16
A/Krasnoyarsk/RII-MH129620S/2023|EPIISL17674746|2023-01-25|HA|4,2023-01-25
A/NizhnyNovgorod/67-3V/2022|EPIISL16499348|2022-11-15|HA|4,2022-11-15
A/Massachusetts/IVYG43P93J9/2022|EPIISL17019097|2022-12-21|HA|4,2022-12-21
A/France/ARA-HCL023025885801/2023|EPIISL17693587|2023-02-11|HA|4,2023-02-11
A/Saint-Petersburg/RII-5117S/2022|EPIISL16308842|2022-12-07|HA|4,2022-12-07
A/Netherlands/10227/2023|EPIISL16954699|2023-01-30|HA|4,2023-01-30
A/England/225100987/2022|EPIISL16810010|2022-12-12|HA|4,2022-12-12
A/Khabarovsk/17/2022|EPIISL17672715|2022-12-05|HA|4,2022-12-05
A/England/224580292/2022|EPIISL16100779|2022-11-11|HA|4,2022-11-11
A/Colorado/34/2022|EPIISL15928408|2022-10-11|HA|4,2022-10-11
A/Michigan/UOM10048534756/2022|EPIISL16869526|2022-11-22|HA|4,2022-11-22
A/Navarra/1073/2023|EPIISL17512112|2023-03-06|HA|4,2023-03-06
A/Netherlands/10397/2023|EPIISL17179532|2023-02-24|HA|4,2023-02-24
A/India/4272/2022|EPIISL16764989|2022-10-06|HA|4,2022-10-06
A/Netherlands/11866/2022|EPIISL16140116|2022-12-06|HA|4,2022-12-06
A/Massachusetts/IVYG43P99Q5/2023|EPIISL17019168|2023-01-04|HA|4,2023-01-04
A/Netherlands/10468/2023|EPIISL18044584|2023-03-13|HA|4,2023-03-13
A/England/224900978/2022|EPIISL16748979|2022-11-30|HA|4,2022-11-30
A/Oklahoma/01/2022|EPIISL16199695|2022-11-14|HA|4,2022-11-14
A/Guatemala/227/2023|EPIISL17659277|2023-03-15|HA|4,2023-03-15
A/Kyiv/1996/2023|EPIISL18167396|2023-03-10|HA|4,2023-03-10
A/England/224660765/2022|EPIISL16652491|2022-11-16|HA|4,2022-11-16
A/Michigan/HFHSL361499967/2023|EPIISL17983297|2023-01-22|HA|4,2023-01-22
A/Pakistan/GIHSN/ICT/1071/2023|EPIISL16980077|2023-02-22|HA|4,2023-02-22
A/Saint-Petersburg/RII-9062S/2023|EPIISL16764170|2023-01-13|HA|4,2023-01-13
A/Denmark/183/2023|EPIISL17189272|2023-01-16|HA|4,2023-01-16
A/Utah/14/2023|EPIISL17122744|2023-02-04|HA|4,2023-02-04
A/Netherlands/11921/2022|EPIISL16215333|2022-12-09|HA|4,2022-12-09
A/England/224180761/2022|EPIISL15803864|2022-10-02|HA|4,2022-10-02
A/Norway/34077/2022|EPIISL16095989|2022-10-12|HA|4,2022-10-12
A/ChampagneArdenne/03912/2023|EPIISL17080630|2023-02-13|HA|4,2023-02-13
A/France/ARA-HCL023032643101/2023|EPIISL17693836|2023-02-22|HA|4,2023-02-22
A/Khabarovsk/218/2023|EPIISL17712276|2023-01-20|HA|4,2023-01-20
A/Tajikistan/452/2022|EPIISL17225325|2022-12-15|HA|4,2022-12-15
A/Norway/33564/2022|EPIISL15942853|2022-10-18|HA|4,2022-10-18
A/Romania/933/2023|EPIISL17317407|2023-02-13|HA|4,2023-02-13
A/Saint-Petersburg/RII-145/2022|EPIISL17712180|2022-12-19|HA|4,2022-12-19
A/Catalonia/NSVH102057367/2023|EPIISL17591959|2023-04-06|HA|4,2023-04-06
A/RhodeIsland/23/2023|EPIISL17806042|2023-04-04|HA|4,2023-04-04
A/Slovenia/11068/2022|EPIISL17204394|2022-11-28|HA|4,2022-11-28
A/Saint-Petersburg/RII-6549S/2022|EPIISL16733601|2022-12-17|HA|4,2022-12-17
A/Michigan/UOM10048955898/2022|EPIISL17551792|2022-12-19|HA|4,2022-12-19
A/Delaware/94/2022|EPIISL16831302|2022-12-26|HA|4,2022-12-26
A/Chita/77-1V/2022|EPIISL16127234|2022-11-12|HA|4,2022-11-12
A/Tennessee/RVTNL5824298418736/2022|EPIISL16935616|2022-10-29|HA|4,2022-10-29
A/Kuzhener/RII-MH121046S/2022|EPIISL16738078|2022-12-01|HA|4,2022-12-01
A/Baltimore/JH-0411/2022|EPIISL15807443|2022-10-12|HA|4,2022-10-12
A/Denbigh/6210/2022|EPIISL15912219|2022-11-15|HA|4,2022-11-15
A/Catalonia/NSVH101975655/2022|EPIISL16546388|2022-12-15|HA|4,2022-12-15
A/Delaware/44/2023|EPIISL17659266|2023-03-23|HA|4,2023-03-23
A/Saint-Petersburg/RII-175/2022|EPIISL17680671|2022-12-28|HA|4,2022-12-28
A/Saint-Petersburg/RII-17/2023|EPIISL17712191|2023-01-01|HA|4,2023-01-01
A/Guizhou-Honghuagang/SWL1267/2023|EPIISL18068740|2023-03-15|HA|4,2023-03-15
A/NewJersey/99/2022|EPIISL16834538|2022-12-25|HA|4,2022-12-25
A/England/230220217/2023|EPIISL16937983|2023-01-04|HA|4,2023-01-04
A/Finland/313/2022|EPIISL16749438|2022-11-01|HA|4,2022-11-01
A/BritishColumbia/PHL-365/2022|EPIISL16283296|2022-10-25|HA|4,2022-10-25
A/Michigan/UOM10049022784/2022|EPIISL18076794|2022-12-22|HA|4,2022-12-22
A/Bahrain/1303/2022|EPIISL16833425|2022-12-12|HA|4,2022-12-12
A/VelikiyNovgorod/RII-MH132618S/2023|EPIISL17712296|2023-02-01|HA|4,2023-02-01
A/England/224740379/2022|EPIISL16477464|2022-11-23|HA|4,2022-11-23
A/Catalonia/NSJT198269992/2023|EPIISL17445893|2023-03-21|HA|4,2023-03-21
A/IledeFrance/52581/2022|EPIISL16465028|2022-10-10|HA|4,2022-10-10
A/Albania/290535/2023|EPIISL17063067|2023-01-05|HA|4,2023-01-05
A/Romania/4619/2022|EPIISL16679451|2022-12-13|HA|4,2022-12-13
A/Catalonia/NSGT198269755/2023|EPIISL17445889|2023-03-16|HA|4,2023-03-16
A/Saint-Petersburg/RII-7516S/2022|EPIISL16737129|2022-12-24|HA|4,2022-12-24
A/Catalonia/NSJT198268528/2023|EPIISL17190017|2023-03-02|HA|4,2023-03-02
A/Montana/01/2023|EPIISL16830327|2023-01-01|HA|4,2023-01-01
A/Saint-Petersburg/RII-6504S/2022|EPIISL16733593|2022-12-18|HA|4,2022-12-18
A/Kosovo/972/2023|EPIISL18167201|2023-02-28|HA|4,2023-02-28
A/Greece/717/2022|EPIISL17225345|2022-12-27|HA|4,2022-12-27
A/Saint-Petersburg/RII-4791S/2022|EPIISL16292757|2022-12-05|HA|4,2022-12-05
A/Maine/38/2022|EPIISL16833418|2022-12-05|HA|4,2022-12-05
A/Saint-Petersburg/RII-6616S/2022|EPIISL16733612|2022-12-16|HA|4,2022-12-16
A/Singapore/GP1894/2023|EPIISL17965830|2023-02-22|HA|4,2023-02-22
A/France/ARA-HCL022202192001/2022|EPIISL16311808|2022-12-02|HA|4,2022-12-02
A/PaisVasco/498/2023|EPIISL17095790|2023-01-26|HA|4,2023-01-26
A/Stockholm/65/2022|EPIISL17360698|2022-12-31|HA|4,2022-12-31
A/Saint-Petersburg/RII-4278S/2022|EPIISL16283193|2022-11-28|HA|4,2022-11-28
A/Henan-Fengqiu/SWL35/2023|EPIISL18068935|2023-03-01|HA|4,2023-03-01
A/Massachusetts/47/2022|EPIISL16761794|2022-12-04|HA|4,2022-12-04
A/Albania/290470/2023|EPIISL16834431|2023-02-01|HA|4,2023-02-01
A/Michigan/105/2022|EPIISL17102960|2022-12-24|HA|4,2022-12-24
A/Michigan/UOM10048607327/2022|EPIISL16869602|2022-11-28|HA|4,2022-11-28
A/Catalonia/NSVH151195412/2022|EPIISL16834499|2022-10-18|HA|4,2022-10-18
A/Lisboa/592/2022RL220058|EPIISL16465061|2022-10-16|HA|4,2022-10-16
A/Guangdong-Futian/SWL1355/2023|EPIISL18069050|2023-03-01|HA|4,2023-03-01
A/Saint-Petersburg/RII-5352S/2022|EPIISL16309644|2022-12-08|HA|4,2022-12-08
A/England/224360442/2022|EPIISL15888851|2022-10-23|HA|4,2022-10-23
A/Khabarovsk/27/2022|EPIISL16764133|2022-12-01|HA|4,2022-12-01
A/Michigan/03/2023|EPIISL17102710|2023-01-02|HA|4,2023-01-02
A/Lisboa/618/2022RL220124|EPIISL17225338|2022-10-31|HA|4,2022-10-31
A/Singapore/GP1510/2023|EPIISL17974228|2023-02-13|HA|4,2023-02-13
A/Qatar/14207/2023|EPIISL18090358|2023-04-25|HA|4,2023-04-25
A/Norway/00147/2022|EPIISL16633824|2023-01-03|HA|4,2023-01-03
A/Novosibirsk/8122/2022|EPIISL17672693|2022-12-12|HA|4,2022-12-12
A/Netherlands/12164/2022|EPIISL16390327|2022-12-24|HA|4,2022-12-24
A/Utah/IVYD13J45L8/2022|EPIISL16631858|2022-11-15|HA|4,2022-11-15
A/Navarra/724/2023|EPIISL17297371|2023-02-13|HA|4,2023-02-13
A/Netherlands/11782/2022|EPIISL15774519|2022-10-18|HA|4,2022-10-18
A/Saransk/RII-MH129909S/2023|EPIISL17680702|2023-01-29|HA|4,2023-01-29
A/Norway/02259/2023|EPIISL17106574|2023-02-08|HA|4,2023-02-08
A/Romania/265/2023|EPIISL17209788|2023-01-09|HA|4,2023-01-09
A/Nordrhein-Westfalen/6/2023|EPIISL17037582|2023-01-03|HA|4,2023-01-03
A/Novosibirsk/8127/2022|EPIISL17680652|2022-12-16|HA|4,2022-12-16
A/Idaho/91/2022|EPIISL16833151|2022-12-17|HA|4,2022-12-17
A/Liaoning-Huanggu/SWL1402/2023|EPIISL18068915|2023-02-20|HA|4,2023-02-20
A/Khabarovsk/233/2023|EPIISL17796966|2022-12-31|HA|4,2022-12-31
A/Krasnoyarsk/RII-MH134828S/2023|EPIISL17796879|2023-02-09|HA|4,2023-02-09
A/Lisboa/677/2022|EPIISL17063112|2022-11-15|HA|4,2022-11-15
A/Saransk/RII-MH128665S/2022|EPIISL17672643|2022-12-17|HA|4,2022-12-17
A/Saransk/RII-MH129901S/2023|EPIISL17680633|2023-01-27|HA|4,2023-01-27
A/Khabarovsk/107/2022|EPIISL16740395|2022-12-14|HA|4,2022-12-14
A/Norway/03393/2023|EPIISL17266821|2023-03-02|HA|4,2023-03-02
A/Khabarovsk/205/2022|EPIISL17646600|2022-12-21|HA|4,2022-12-21
A/Veneto/USAFSAM-14190/2023|EPIISL17886034|2023-03-21|HA|4,2023-03-21
A/France/ARA-HCL023028589701/2023|EPIISL17693740|2023-02-16|HA|4,2023-02-16
A/IledeFrance/00734/2023|EPIISL16757489|2023-01-04|HA|4,2023-01-04
A/England/230200167/2023|EPIISL16886991|2023-01-05|HA|4,2023-01-05
A/Armenia/1481/2022|EPIISL17211532|2022-12-12|HA|4,2022-12-12
A/Denmark/916/2023|EPIISL17710876|2023-03-17|HA|4,2023-03-17
